week_end_date,period_end_date,period_end_month,period_end_year
2023-07-02,2023-07-23,7,2023
2023-07-09,2023-07-23,7,2023
2023-07-16,2023-07-23,7,2023
2023-07-23,2023-07-23,7,2023
2023-07-30,2023-08-20,8,2023
2023-08-06,2023-08-20,8,2023
2023-08-13,2023-08-20,8,2023
2023-08-20,2023-08-20,8,2023
2023-08-27,2023-09-24,9,2023
2023-09-03,2023-09-24,9,2023
2023-09-10,2023-09-24,9,2023
2023-09-17,2023-09-24,9,2023
2023-09-24,2023-09-24,9,2023
2023-10-01,2023-10-22,10,2023
2023-10-08,2023-10-22,10,2023
2023-10-15,2023-10-22,10,2023
2023-10-22,2023-10-22,10,2023
2023-10-29,2023-11-19,11,2023
2023-11-05,2023-11-19,11,2023
2023-11-12,2023-11-19,11,2023
2023-11-19,2023-11-19,11,2023
2023-11-26,2023-12-31,12,2023
2023-12-03,2023-12-31,12,2023
2023-12-10,2023-12-31,12,2023
2023-12-17,2023-12-31,12,2023
2023-12-24,2023-12-31,12,2023
2023-12-31,2023-12-31,12,2023
2024-01-07,2024-01-28,1,2024
2024-01-14,2024-01-28,1,2024
2024-01-21,2024-01-28,1,2024
2024-01-28,2024-01-28,1,2024
2024-02-04,2024-02-25,2,2024
2024-02-11,2024-02-25,2,2024
2024-02-18,2024-02-25,2,2024
2024-02-25,2024-02-25,2,2024
2024-03-03,2024-03-31,3,2024
2024-03-10,2024-03-31,3,2024
2024-03-17,2024-03-31,3,2024
2024-03-24,2024-03-31,3,2024
2024-03-31,2024-03-31,3,2024
2024-04-07,2024-04-28,4,2024
2024-04-14,2024-04-28,4,2024
2024-04-21,2024-04-28,4,2024
2024-04-28,2024-04-28,4,2024
2024-05-05,2024-05-26,5,2024
2024-05-12,2024-05-26,5,2024
2024-05-19,2024-05-26,5,2024
2024-05-26,2024-05-26,5,2024
2024-06-02,2024-06-30,6,2024
2024-06-09,2024-06-30,6,2024
2024-06-16,2024-06-30,6,2024
2024-06-23,2024-06-30,6,2024
2024-06-30,2024-06-30,6,2024
2024-07-07,2024-07-28,7,2024
2024-07-14,2024-07-28,7,2024
2024-07-21,2024-07-28,7,2024
2024-07-28,2024-07-28,7,2024
2024-08-04,2024-08-25,8,2024
2024-08-11,2024-08-25,8,2024
2024-08-18,2024-08-25,8,2024
2024-08-25,2024-08-25,8,2024
2024-09-01,2024-09-29,9,2024
2024-09-08,2024-09-29,9,2024
2024-09-15,2024-09-29,9,2024
2024-09-22,2024-09-29,9,2024
2024-09-29,2024-09-29,9,2024
2024-10-06,2024-10-27,10,2024
2024-10-13,2024-10-27,10,2024
2024-10-20,2024-10-27,10,2024
2024-10-27,2024-10-27,10,2024
2024-11-03,2024-11-24,11,2024
2024-11-10,2024-11-24,11,2024
2024-11-17,2024-11-24,11,2024
2024-11-24,2024-11-24,11,2024
2024-12-01,2024-12-29,12,2024
2024-12-08,2024-12-29,12,2024
2024-12-15,2024-12-29,12,2024
2024-12-22,2024-12-29,12,2024
2024-12-29,2024-12-29,12,2024
2025-01-05,2025-01-26,1,2025
2025-01-12,2025-01-26,1,2025
2025-01-19,2025-01-26,1,2025
2025-01-26,2025-01-26,1,2025
2025-02-02,2025-02-23,2,2025
2025-02-09,2025-02-23,2,2025
2025-02-16,2025-02-23,2,2025
2025-02-23,2025-02-23,2,2025
2025-03-02,2025-03-30,3,2025
2025-03-09,2025-03-30,3,2025
2025-03-16,2025-03-30,3,2025
2025-03-23,2025-03-30,3,2025
2025-03-30,2025-03-30,3,2025
2025-04-06,2025-04-27,4,2025
2025-04-13,2025-04-27,4,2025
2025-04-20,2025-04-27,4,2025
2025-04-27,2025-04-27,4,2025
2025-05-04,2025-05-25,5,2025
2025-05-11,2025-05-25,5,2025
2025-05-18,2025-05-25,5,2025
2025-05-25,2025-05-25,5,2025
2025-06-01,2025-06-29,6,2025
2025-06-08,2025-06-29,6,2025
2025-06-15,2025-06-29,6,2025
2025-06-22,2025-06-29,6,2025
2025-06-29,2025-06-29,6,2025
2025-07-06,2025-07-27,7,2025
2025-07-13,2025-07-27,7,2025
2025-07-20,2025-07-27,7,2025
2025-07-27,2025-07-27,7,2025
2025-08-03,2025-08-24,8,2025
2025-08-10,2025-08-24,8,2025
2025-08-17,2025-08-24,8,2025
2025-08-24,2025-08-24,8,2025
2025-08-31,2025-09-28,9,2025
2025-09-07,2025-09-28,9,2025
2025-09-14,2025-09-28,9,2025
2025-09-21,2025-09-28,9,2025
2025-09-28,2025-09-28,9,2025
2025-10-05,2025-10-26,10,2025
2025-10-12,2025-10-26,10,2025
2025-10-19,2025-10-26,10,2025
2025-10-26,2025-10-26,10,2025
2025-11-02,2025-11-23,11,2025
2025-11-09,2025-11-23,11,2025
2025-11-16,2025-11-23,11,2025
2025-11-23,2025-11-23,11,2025
2025-11-30,2025-12-28,12,2025
2025-12-07,2025-12-28,12,2025
2025-12-14,2025-12-28,12,2025
2025-12-21,2025-12-28,12,2025
2025-12-28,2025-12-28,12,2025
2026-01-04,2026-01-25,1,2026
